exp_rep,exp_unit,treatment,stress,inoculant,rep,bg_biomass,bg_bl_adj
1,1,Nutrient-sterile water,nutrient,a1water,1,0.0067,-0.0105
1,2,Drought-Commercial,drought,Lalrise,1,0.0396,0.0224
1,3,a1None-sterile water,none,a1water,1,0.0015,-0.0157
1,5,Drought-sterile water,drought,a1water,1,0.1099,0.0927
1,6,Drought-Commercial,drought,Lalrise,2,0.4827,0.4655
1,7,None-Commercial,none,Lalrise,1,0.141,0.1238
1,8,Drought-NF,drought,NF,1,0.1093,0.0921
1,9,Nutrient-NF,nutrient,NF,1,0.0088,-0.0084
1,10,Nutrient-NF,nutrient,NF,2,0.0026,-0.0146
1,11,Drought-PSB_NF,drought,PSB_NF,1,0.1481,0.1309
1,12,a1None-sterile water,none,a1water,2,0.0688,0.0516
1,13,None-PSB_NF,none,PSB_NF,1,0.3836,0.3664
1,14,Nutrient-Commercial,nutrient,Lalrise,1,0.0875,0.0703
1,15,Nutrient-NF,nutrient,NF,3,0.0876,0.0704
1,16,None-PSB_NF,none,PSB_NF,2,0.1152,0.098
1,17,None-NF,none,NF,1,0.0573,0.0401
1,18,a1None-sterile water,none,a1water,3,0.0983,0.0811
1,20,Nutrient-NF,nutrient,NF,4,0.0046,-0.0126
1,21,a1None-sterile water,none,a1water,4,0.0891,0.0719
1,22,None-PSB_NF,none,PSB_NF,3,0.0785,0.0613
1,23,Drought-NF,drought,NF,2,0.0042,-0.013
1,24,Drought-NF,drought,NF,3,0.0178,0.0006
1,26,None-Commercial,none,Lalrise,2,0.1322,0.115
1,27,None-Commercial,none,Lalrise,3,0.0304,0.0132
1,28,Drought-NF,drought,NF,4,0.0534,0.0362
1,29,Nutrient-PSB,nutrient,PSB,2,0.0161,-0.0011
1,30,a1None-sterile water,none,a1water,5,0.0007,-0.0165
1,31,Nutrient-Commercial,nutrient,Lalrise,2,0.0011,-0.0161
1,32,Nutrient-PSB_NF,nutrient,PSB_NF,3,0.0053,-0.0119
1,33,Drought-PSB,drought,PSB,1,0.1038,0.0866
1,34,Drought-sterile water,drought,a1water,2,0.0035,-0.0137
1,36,Drought-PSB,drought,PSB,2,0.0111,-0.0061
1,38,Nutrient-sterile water,nutrient,a1water,2,0.0024,-0.0148
1,39,Nutrient-PSB_NF,nutrient,PSB_NF,4,0.0094,-0.0078
1,40,Drought-sterile water,drought,a1water,3,0.0057,-0.0115
1,41,a1None-sterile water,none,a1water,6,0.0329,0.0157
1,42,Drought-NF,drought,NF,5,0.0065,-0.0107
1,43,None-NF,none,NF,3,0.0305,0.0133
1,44,None-PSB,none,PSB,1,0.0378,0.0206
1,45,Nutrient-sterile water,nutrient,a1water,3,0.0059,-0.0113
1,46,Nutrient-sterile water,nutrient,a1water,4,0.0019,-0.0153
1,47,Drought-PSB,drought,PSB,3,0.0141,-0.0031
1,50,None-PSB,none,PSB,2,0.034,0.0168
1,51,None-PSB,none,PSB,3,0.0113,-0.0059
1,52,Drought-sterile water,drought,a1water,4,0.0175,0.0003
1,54,Nutrient-NF,nutrient,NF,5,0.005,-0.0122
1,55,Drought-Commercial,drought,Lalrise,3,0.0067,-0.0105
1,56,None-PSB_NF,none,PSB_NF,4,0.0048,-0.0124
1,57,Nutrient-PSB_NF,nutrient,PSB_NF,5,0.0041,-0.0131
1,58,Nutrient-PSB,nutrient,PSB,3,0.0007,-0.0165
1,59,Nutrient-PSB,nutrient,PSB,4,0.0105,-0.0067
1,60,Drought-Commercial,drought,Lalrise,4,0.0055,-0.0117
1,61,Drought-Commercial,drought,Lalrise,5,0.0296,0.0124
1,62,Drought-PSB_NF,drought,PSB_NF,3,0.0337,0.0165
1,63,Drought-PSB_NF,drought,PSB_NF,4,0.0164,-0.0008
1,64,None-NF,none,NF,4,0.1743,0.1571
1,65,Drought-sterile water,drought,a1water,5,0.0475,0.0303
1,66,None-PSB_NF,none,PSB_NF,5,0.0077,-0.0095
1,67,Nutrient-Commercial,nutrient,Lalrise,4,0.0151,-0.0021
1,68,Drought-PSB,drought,PSB,5,0.085,0.0678
1,69,None-PSB,none,PSB,4,0.057,0.0398
1,71,None-PSB_NF,none,PSB_NF,6,0.0814,0.0642
1,75,Nutrient-sterile water,nutrient,a1water,6,0.0015,-0.0157
1,76,None-PSB,none,PSB,5,0.0506,0.0334
1,77,None-Commercial,none,Lalrise,4,0.0214,0.0042
1,78,Nutrient-PSB,nutrient,PSB,6,0.0123,-0.0049
1,79,None-PSB,none,PSB,6,0.0371,0.0199
1,80,None-NF,none,NF,5,0.0078,-0.0094
1,82,Drought-Commercial,drought,Lalrise,6,0.0757,0.0585
1,83,None-Commercial,none,Lalrise,6,0.003,-0.0142
1,84,Drought-PSB_NF,drought,PSB_NF,5,0.0015,-0.0157
1,85,Nutrient-Commercial,nutrient,Lalrise,6,0.0124,-0.0048
1,87,Nutrient-PSB_NF,nutrient,PSB_NF,6,0.0287,0.0115
1,88,None-NF,none,NF,6,0.0033,-0.0139
1,89,Drought-PSB,drought,PSB,6,0.0042,-0.013
2,1,a1None-sterile water,none,a1water,1,0.0021,0.0157
2,2,None-Commercial,none,Lalrise,1,0.0032,0.0168
2,3,None-Commercial,none,Lalrise,2,0.0031,0.0167
2,4,Nutrient-PSB_NF,nutrient,PSB_NF,1,0.0017,0.0153
2,5,Nutrient-PSB,nutrient,PSB,1,0.0005,0.0141
2,6,Drought-PSB_NF,drought,PSB_NF,1,0.0023,0.0159
2,8,Drought-NF,drought,NF,1,0.0004,0.014
2,9,Drought-sterile water,drought,a1water,1,0.0008,0.0144
2,11,None-Commercial,none,Lalrise,3,0.0013,0.0149
2,12,Nutrient-sterile water,nutrient,a1water,1,0.0029,0.0165
2,13,Drought-PSB_NF,drought,PSB_NF,2,0.0021,0.0157
2,14,Nutrient-NF,nutrient,NF,1,0.0166,0.0302
2,16,Nutrient-sterile water,nutrient,a1water,2,0.0021,0.0157
2,17,Drought-PSB_NF,drought,PSB_NF,3,0.0021,0.0157
2,18,Nutrient-NF,nutrient,NF,3,0.0007,0.0143
2,19,Nutrient-PSB_NF,nutrient,PSB_NF,2,0.0031,0.0167
2,20,Drought-NF,drought,NF,2,0.0019,0.0155
2,21,Nutrient-Commercial,nutrient,Lalrise,1,0.0029,0.0165
2,22,None-PSB_NF,none,PSB_NF,1,0.0015,0.0151
2,23,Nutrient-sterile water,nutrient,a1water,3,0.005,0.0186
2,24,None-NF,none,NF,1,0.013,0.0266
2,25,Drought-PSB,drought,PSB,1,0.0071,0.0207
2,26,Drought-PSB_NF,drought,PSB_NF,4,0.0065,0.0201
2,27,None-PSB_NF,none,PSB_NF,2,0.013,0.0266
2,28,Drought-PSB,drought,PSB,2,0.0004,0.014
2,29,Drought-NF,drought,NF,3,0.0007,0.0143
2,31,Nutrient-NF,nutrient,NF,4,0.0054,0.019
2,32,Drought-NF,drought,NF,4,0.0021,0.0157
2,33,Drought-sterile water,drought,a1water,2,0.0063,0.0199
2,34,Nutrient-PSB,nutrient,PSB,3,0.0032,0.0168
2,35,Drought-PSB,drought,PSB,3,0.0046,0.0182
2,36,None-Commercial,none,Lalrise,4,0.0027,0.0163
2,37,None-PSB_NF,none,PSB_NF,3,0.0059,0.0195
2,38,Nutrient-PSB_NF,nutrient,PSB_NF,3,0.0177,0.0313
2,40,None-PSB,none,PSB,2,0.0036,0.0172
2,41,None-PSB,none,PSB,3,0.065,0.0786
2,42,Nutrient-PSB_NF,nutrient,PSB_NF,4,0.0174,0.031
2,43,None-PSB,none,PSB,4,0.0045,0.0181
2,44,Nutrient-Commercial,nutrient,Lalrise,2,0.003,0.0166
2,45,None-NF,none,NF,2,0.2007,0.2143
2,46,Nutrient-Commercial,nutrient,Lalrise,3,0.0136,0.0272
2,47,Drought-PSB,drought,PSB,4,0.0033,0.0169
2,48,a1None-sterile water,none,a1water,2,0.0304,0.044
2,49,None-PSB,none,PSB,5,0.0303,0.0439
2,50,None-Commercial,none,Lalrise,5,0.002,0.0156
2,51,Nutrient-PSB,nutrient,PSB,4,0.0018,0.0154
2,52,Drought-sterile water,drought,a1water,3,0.0045,0.0181
2,53,Nutrient-sterile water,nutrient,a1water,4,0.0184,0.032
2,54,Nutrient-Commercial,nutrient,Lalrise,4,0.0041,0.0177
2,55,Nutrient-NF,nutrient,NF,5,0.0056,0.0192
2,56,Drought-Commercial,drought,Lalrise,3,0.0014,0.015
2,57,Nutrient-Commercial,nutrient,Lalrise,5,0.0052,0.0188
2,59,Nutrient-PSB_NF,nutrient,PSB_NF,5,0.0001,0.0137
2,60,Drought-sterile water,drought,a1water,4,0.0028,0.0164
2,61,Drought-NF,drought,NF,5,0.0025,0.0161
2,63,None-NF,none,NF,3,0.0005,0.0141
2,64,Drought-PSB_NF,drought,PSB_NF,5,0.0073,0.0209
2,65,Drought-sterile water,drought,a1water,5,0.0016,0.0152
2,67,Nutrient-sterile water,nutrient,a1water,5,0.0004,0.014
2,68,a1None-sterile water,none,a1water,3,0.0299,0.0435
2,69,Nutrient-PSB_NF,nutrient,PSB_NF,6,0.0127,0.0263
2,70,None-PSB,none,PSB,6,0.0091,0.0227
2,72,None-PSB_NF,none,PSB_NF,6,0.0451,0.0587
2,73,None-NF,none,NF,5,0.0112,0.0248
2,74,Nutrient-PSB,nutrient,PSB,5,0.0091,0.0227
2,75,Drought-PSB_NF,drought,PSB_NF,6,0.0033,0.0169
2,76,a1None-sterile water,none,a1water,4,0.0125,0.0261
2,77,Drought-PSB,drought,PSB,5,0.0006,0.0142
2,79,Drought-sterile water,drought,a1water,6,0.0017,0.0153
2,80,Drought-Commercial,drought,Lalrise,4,0.006,0.0196
2,81,a1None-sterile water,none,a1water,5,0.0019,0.0155
2,82,a1None-sterile water,none,a1water,6,0.0187,0.0323
2,83,Nutrient-NF,nutrient,NF,6,0.0222,0.0358
2,84,Drought-Commercial,drought,Lalrise,5,0.0021,0.0157
2,85,Nutrient-Commercial,nutrient,Lalrise,6,0.0073,0.0209
2,86,None-NF,none,NF,6,0.0003,0.0139
2,87,None-Commercial,none,Lalrise,6,0.0199,0.0335
2,88,Drought-Commercial,drought,Lalrise,6,0.0057,0.0193
2,89,Nutrient-sterile water,nutrient,a1water,6,0.0103,0.0239
2,90,Nutrient-PSB,nutrient,PSB,6,0.0021,0.0157
3,1,None-NF,none,NF,1,0.0002,0.0079
3,2,Nutrient-Commercial,nutrient,Lalrise,1,0.0068,0.0145
3,3,Drought-PSB,drought,PSB,1,0.003,0.0107
3,4,Drought-NF,drought,NF,1,0.0107,0.0184
3,5,None-Commercial,none,Lalrise,1,0.0031,0.0108
3,6,Drought-PSB,drought,PSB,2,0.004,0.0117
3,7,Nutrient-Commercial,nutrient,Lalrise,2,0.0101,0.0178
3,8,Drought-PSB_NF,drought,PSB_NF,1,0.0034,0.0111
3,9,Drought-PSB_NF,drought,PSB_NF,2,0.0037,0.0114
3,10,Nutrient-PSB,nutrient,PSB,1,0.0005,0.0082
3,12,Nutrient-NF,nutrient,NF,1,0.0082,0.0159
3,13,Nutrient-NF,nutrient,NF,2,0.0084,0.0161
3,14,Nutrient-NF,nutrient,NF,3,0.0093,0.017
3,15,None-PSB,none,PSB,1,0.004,0.0117
3,16,Drought-sterile water,drought,a1water,1,0.0006,0.0083
3,17,Drought-sterile water,drought,a1water,2,0.0023,0.01
3,18,Nutrient-PSB_NF,nutrient,PSB_NF,1,0.0153,0.023
3,19,None-NF,none,NF,2,0.0046,0.0123
3,20,Drought-PSB,drought,PSB,3,0.0054,0.0131
3,21,None-PSB_NF,none,PSB_NF,1,0.0062,0.0139
3,22,None-Commercial,none,Lalrise,3,0.011,0.0187
3,24,None-NF,none,NF,3,0.017,0.0247
3,25,Drought-NF,drought,NF,2,0.0377,0.0454
3,26,Nutrient-Commercial,nutrient,Lalrise,3,0.0476,0.0553
3,27,Nutrient-sterile water,nutrient,a1water,1,0.0115,0.0192
3,28,Drought-NF,drought,NF,3,0.0073,0.015
3,29,Drought-PSB,drought,PSB,4,0.0026,0.0103
3,30,None-Commercial,none,Lalrise,4,0.0043,0.012
3,31,a1None-sterile water,none,a1water,1,0.0135,0.0212
3,32,a1None-sterile water,none,a1water,2,0.0076,0.0153
3,33,a1None-sterile water,none,a1water,3,0.0051,0.0128
3,34,Nutrient-NF,nutrient,NF,4,0.0135,0.0212
3,35,None-PSB,none,PSB,2,0.0036,0.0113
3,36,Drought-NF,drought,NF,4,0.0036,0.0113
3,37,Nutrient-sterile water,nutrient,a1water,2,0.0258,0.0335
3,38,Drought-Commercial,drought,Lalrise,1,0.0099,0.0176
3,39,Drought-sterile water,drought,a1water,3,0.0031,0.0108
3,40,Drought-sterile water,drought,a1water,4,0.0082,0.0159
3,41,Drought-PSB_NF,drought,PSB_NF,3,0.0029,0.0106
3,42,None-PSB,none,PSB,3,0.0402,0.0479
3,43,Nutrient-PSB,nutrient,PSB,3,0.0465,0.0542
3,44,Nutrient-PSB_NF,nutrient,PSB_NF,2,0.0202,0.0279
3,45,a1None-sterile water,none,a1water,4,0.0272,0.0349
3,46,None-Commercial,none,Lalrise,5,0.0333,0.041
3,48,Nutrient-PSB,nutrient,PSB,4,0.0533,0.061
3,49,Nutrient-sterile water,nutrient,a1water,3,0.0407,0.0484
3,50,Nutrient-PSB,nutrient,PSB,5,0.0118,0.0195
3,51,None-NF,none,NF,4,0.0177,0.0254
3,52,Nutrient-PSB_NF,nutrient,PSB_NF,3,0.0235,0.0312
3,53,Drought-sterile water,drought,a1water,5,0.0119,0.0196
3,54,Nutrient-PSB,nutrient,PSB,6,0.0205,0.0282
3,55,None-PSB_NF,none,PSB_NF,2,0.0261,0.0338
3,56,Nutrient-PSB_NF,nutrient,PSB_NF,4,0.0284,0.0361
3,57,Drought-NF,drought,NF,5,0.0135,0.0212
3,58,Drought-PSB_NF,drought,PSB_NF,4,0.0064,0.0141
3,59,None-PSB,none,PSB,4,0.0213,0.029
3,60,None-PSB_NF,none,PSB_NF,3,0.0101,0.0178
3,61,Nutrient-PSB_NF,nutrient,PSB_NF,5,0.0047,0.0124
3,62,Nutrient-NF,nutrient,NF,5,0.0294,0.0371
3,63,Nutrient-Commercial,nutrient,Lalrise,4,0.0113,0.019
3,64,None-PSB,none,PSB,5,0.0384,0.0461
3,65,a1None-sterile water,none,a1water,6,0.05,0.0577
3,66,None-NF,none,NF,5,0.0324,0.0401
3,67,Nutrient-sterile water,nutrient,a1water,4,0.033,0.0407
3,68,Nutrient-NF,nutrient,NF,6,0.0205,0.0282
3,69,None-NF,none,NF,6,0.0093,0.017
3,70,Nutrient-PSB_NF,nutrient,PSB_NF,6,0.0079,0.0156
3,71,Drought-sterile water,drought,a1water,6,0.0091,0.0168
3,72,Nutrient-Commercial,nutrient,Lalrise,5,0.0235,0.0312
3,73,Nutrient-sterile water,nutrient,a1water,5,0.0025,0.0102
3,74,None-PSB,none,PSB,6,0.0328,0.0405
3,75,Nutrient-Commercial,nutrient,Lalrise,6,0.005,0.0127
3,76,None-Commercial,none,Lalrise,6,0.0209,0.0286
3,78,Drought-NF,drought,NF,6,0.0581,0.0658
3,79,None-PSB_NF,none,PSB_NF,4,0.0675,0.0752
3,80,Drought-PSB_NF,drought,PSB_NF,5,0.0146,0.0223
3,81,None-PSB_NF,none,PSB_NF,5,0.0415,0.0492
3,82,Drought-Commercial,drought,Lalrise,2,0.0143,0.022
3,83,Drought-Commercial,drought,Lalrise,3,0.027,0.0347
3,85,Drought-PSB_NF,drought,PSB_NF,6,0.0011,0.0088
3,86,Drought-PSB,drought,PSB,5,0.023,0.0307
3,87,Drought-Commercial,drought,Lalrise,5,0.0119,0.0196
3,88,None-PSB_NF,none,PSB_NF,6,0.0582,0.0659
3,89,Drought-Commercial,drought,Lalrise,6,0.0077,0.0154
3,90,Drought-PSB,drought,PSB,6,0.0076,0.0153