exp_rep,exp_unit,treatment,stress,inoculant,rep,tot_biomass
1,1,Nutrient-sterile water,nutrient,a1water,1,0.0103
1,2,Drought-Commercial,drought,Lalrise,1,0.0541
1,3,a1None-sterile water,none,a1water,1,0.0171
1,4,Nutrient-PSB_NF,nutrient,PSB_NF,1,0.0103
1,5,Drought-sterile water,drought,a1water,1,0.1203
1,6,Drought-Commercial,drought,Lalrise,2,0.5559
1,7,None-Commercial,none,Lalrise,1,0.1948
1,8,Drought-NF,drought,NF,1,0.1294
1,9,Nutrient-NF,nutrient,NF,1,0.0129
1,10,Nutrient-NF,nutrient,NF,2,0.0066
1,11,Drought-PSB_NF,drought,PSB_NF,1,0.1807
1,12,a1None-sterile water,none,a1water,2,0.1469
1,13,None-PSB_NF,none,PSB_NF,1,0.5333
1,14,Nutrient-Commercial,nutrient,Lalrise,1,0.1327
1,15,Nutrient-NF,nutrient,NF,3,0.1401
1,16,None-PSB_NF,none,PSB_NF,2,0.1732
1,17,None-NF,none,NF,1,0.1095
1,18,a1None-sterile water,none,a1water,3,0.2292
1,20,Nutrient-NF,nutrient,NF,4,0.0073
1,21,a1None-sterile water,none,a1water,4,0.1732
1,22,None-PSB_NF,none,PSB_NF,3,0.1701
1,23,Drought-NF,drought,NF,2,0.0102
1,24,Drought-NF,drought,NF,3,0.0453
1,26,None-Commercial,none,Lalrise,2,0.2618
1,27,None-Commercial,none,Lalrise,3,0.1232
1,28,Drought-NF,drought,NF,4,0.0943
1,29,Nutrient-PSB,nutrient,PSB,2,0.0465
1,30,a1None-sterile water,none,a1water,5,0.0024
1,31,Nutrient-Commercial,nutrient,Lalrise,2,0.0024
1,32,Nutrient-PSB_NF,nutrient,PSB_NF,3,0.0179
1,33,Drought-PSB,drought,PSB,1,0.1527
1,34,Drought-sterile water,drought,a1water,2,0.0093
1,35,Drought-PSB_NF,drought,PSB_NF,2,0.0381
1,36,Drought-PSB,drought,PSB,2,0.0248
1,38,Nutrient-sterile water,nutrient,a1water,2,0.0077
1,39,Nutrient-PSB_NF,nutrient,PSB_NF,4,0.0278
1,40,Drought-sterile water,drought,a1water,3,0.0127
1,41,a1None-sterile water,none,a1water,6,0.1173
1,42,Drought-NF,drought,NF,5,0.0169
1,43,None-NF,none,NF,3,0.0947
1,44,None-PSB,none,PSB,1,0.0918
1,45,Nutrient-sterile water,nutrient,a1water,3,0.0162
1,46,Nutrient-sterile water,nutrient,a1water,4,0.0076
1,47,Drought-PSB,drought,PSB,3,0.0356
1,50,None-PSB,none,PSB,2,0.0844
1,51,None-PSB,none,PSB,3,0.0447
1,52,Drought-sterile water,drought,a1water,4,0.0313
1,54,Nutrient-NF,nutrient,NF,5,0.0255
1,55,Drought-Commercial,drought,Lalrise,3,0.0218
1,56,None-PSB_NF,none,PSB_NF,4,0.0197
1,57,Nutrient-PSB_NF,nutrient,PSB_NF,5,0.0138
1,58,Nutrient-PSB,nutrient,PSB,3,0.0026
1,59,Nutrient-PSB,nutrient,PSB,4,0.0359
1,60,Drought-Commercial,drought,Lalrise,4,0.0182
1,61,Drought-Commercial,drought,Lalrise,5,0.0597
1,62,Drought-PSB_NF,drought,PSB_NF,3,0.0539
1,63,Drought-PSB_NF,drought,PSB_NF,4,0.0406
1,64,None-NF,none,NF,4,0.3146
1,65,Drought-sterile water,drought,a1water,5,0.0861
1,66,None-PSB_NF,none,PSB_NF,5,0.0283
1,67,Nutrient-Commercial,nutrient,Lalrise,4,0.0354
1,68,Drought-PSB,drought,PSB,5,0.1343
1,69,None-PSB,none,PSB,4,0.1137
1,71,None-PSB_NF,none,PSB_NF,6,0.161
1,75,Nutrient-sterile water,nutrient,a1water,6,0.0028
1,76,None-PSB,none,PSB,5,0.115
1,77,None-Commercial,none,Lalrise,4,0.0574
1,78,Nutrient-PSB,nutrient,PSB,6,0.0578
1,79,None-PSB,none,PSB,6,0.0994
1,80,None-NF,none,NF,5,0.0223
1,82,Drought-Commercial,drought,Lalrise,6,0.1221
1,83,None-Commercial,none,Lalrise,6,0.0245
1,84,Drought-PSB_NF,drought,PSB_NF,5,0.0122
1,85,Nutrient-Commercial,nutrient,Lalrise,6,0.0395
1,87,Nutrient-PSB_NF,nutrient,PSB_NF,6,0.0704
1,88,None-NF,none,NF,6,0.0184
1,89,Drought-PSB,drought,PSB,6,0.0191
2,1,a1None-sterile water,none,a1water,1,0.0114
2,2,None-Commercial,none,Lalrise,1,0.0065
2,3,None-Commercial,none,Lalrise,2,0.0092
2,4,Nutrient-PSB_NF,nutrient,PSB_NF,1,0.0029
2,5,Nutrient-PSB,nutrient,PSB,1,0.0046
2,6,Drought-PSB_NF,drought,PSB_NF,1,0.014
2,8,Drought-NF,drought,NF,1,0.0018
2,9,Drought-sterile water,drought,a1water,1,0.0083
2,11,None-Commercial,none,Lalrise,3,0.0061
2,12,Nutrient-sterile water,nutrient,a1water,1,0.0086
2,13,Drought-PSB_NF,drought,PSB_NF,2,0.0035
2,14,Nutrient-NF,nutrient,NF,1,0.0376
2,16,Nutrient-sterile water,nutrient,a1water,2,0.0129
2,17,Drought-PSB_NF,drought,PSB_NF,3,0.0138
2,18,Nutrient-NF,nutrient,NF,3,0.0107
2,19,Nutrient-PSB_NF,nutrient,PSB_NF,2,0.022
2,20,Drought-NF,drought,NF,2,0.0132
2,21,Nutrient-Commercial,nutrient,Lalrise,1,0.0077
2,22,None-PSB_NF,none,PSB_NF,1,0.0139
2,23,Nutrient-sterile water,nutrient,a1water,3,0.0148
2,24,None-NF,none,NF,1,0.0642
2,25,Drought-PSB,drought,PSB,1,0.0185
2,26,Drought-PSB_NF,drought,PSB_NF,4,0.0071
2,27,None-PSB_NF,none,PSB_NF,2,0.0487
2,28,Drought-PSB,drought,PSB,2,0.0095
2,29,Drought-NF,drought,NF,3,0.01
2,31,Nutrient-NF,nutrient,NF,4,0.025
2,32,Drought-NF,drought,NF,4,0.0162
2,33,Drought-sterile water,drought,a1water,2,0.014
2,34,Nutrient-PSB,nutrient,PSB,3,0.02
2,35,Drought-PSB,drought,PSB,3,0.0186
2,36,None-Commercial,none,Lalrise,4,0.005
2,37,None-PSB_NF,none,PSB_NF,3,0.0432
2,38,Nutrient-PSB_NF,nutrient,PSB_NF,3,0.0556
2,40,None-PSB,none,PSB,2,0.0218
2,41,None-PSB,none,PSB,3,0.1169
2,42,Nutrient-PSB_NF,nutrient,PSB_NF,4,0.0295
2,43,None-PSB,none,PSB,4,0.0307
2,44,Nutrient-Commercial,nutrient,Lalrise,2,0.0255
2,45,None-NF,none,NF,2,0.2813
2,46,Nutrient-Commercial,nutrient,Lalrise,3,0.041
2,47,Drought-PSB,drought,PSB,4,0.0113
2,48,a1None-sterile water,none,a1water,2,0.0841
2,49,None-PSB,none,PSB,5,0.0887
2,50,None-Commercial,none,Lalrise,5,0.0166
2,51,Nutrient-PSB,nutrient,PSB,4,0.0093
2,52,Drought-sterile water,drought,a1water,3,0.0195
2,53,Nutrient-sterile water,nutrient,a1water,4,0.0512
2,54,Nutrient-Commercial,nutrient,Lalrise,4,0.022
2,55,Nutrient-NF,nutrient,NF,5,0.0218
2,56,Drought-Commercial,drought,Lalrise,3,0.0073
2,57,Nutrient-Commercial,nutrient,Lalrise,5,0.0255
2,59,Nutrient-PSB_NF,nutrient,PSB_NF,5,0.0009
2,60,Drought-sterile water,drought,a1water,4,0.0165
2,61,Drought-NF,drought,NF,5,0.0081
2,62,None-PSB_NF,none,PSB_NF,5,0.0021
2,63,None-NF,none,NF,3,0.0019
2,64,Drought-PSB_NF,drought,PSB_NF,5,0.0185
2,65,Drought-sterile water,drought,a1water,5,0.0072
2,67,Nutrient-sterile water,nutrient,a1water,5,0.0025
2,68,a1None-sterile water,none,a1water,3,0.0818
2,69,Nutrient-PSB_NF,nutrient,PSB_NF,6,0.0637
2,70,None-PSB,none,PSB,6,0.0328
2,72,None-PSB_NF,none,PSB_NF,6,0.1372
2,73,None-NF,none,NF,5,0.0463
2,74,Nutrient-PSB,nutrient,PSB,5,0.0305
2,75,Drought-PSB_NF,drought,PSB_NF,6,0.0144
2,76,a1None-sterile water,none,a1water,4,0.0659
2,77,Drought-PSB,drought,PSB,5,0.0046
2,79,Drought-sterile water,drought,a1water,6,0.0096
2,80,Drought-Commercial,drought,Lalrise,4,0.0091
2,81,a1None-sterile water,none,a1water,5,0.0095
2,82,a1None-sterile water,none,a1water,6,0.056
2,83,Nutrient-NF,nutrient,NF,6,0.0951
2,84,Drought-Commercial,drought,Lalrise,5,0.0141
2,85,Nutrient-Commercial,nutrient,Lalrise,6,0.0214
2,86,None-NF,none,NF,6,0.001
2,87,None-Commercial,none,Lalrise,6,0.0989
2,88,Drought-Commercial,drought,Lalrise,6,0.0216
2,89,Nutrient-sterile water,nutrient,a1water,6,0.0409
2,90,Nutrient-PSB,nutrient,PSB,6,0.007
3,1,None-NF,none,NF,1,0.0061
3,2,Nutrient-Commercial,nutrient,Lalrise,1,0.0416
3,3,Drought-PSB,drought,PSB,1,0.0129
3,4,Drought-NF,drought,NF,1,0.0622
3,5,None-Commercial,none,Lalrise,1,0.0072
3,6,Drought-PSB,drought,PSB,2,0.0084
3,7,Nutrient-Commercial,nutrient,Lalrise,2,0.0413
3,8,Drought-PSB_NF,drought,PSB_NF,1,0.0186
3,9,Drought-PSB_NF,drought,PSB_NF,2,0.0076
3,10,Nutrient-PSB,nutrient,PSB,1,0.0055
3,12,Nutrient-NF,nutrient,NF,1,0.0336
3,13,Nutrient-NF,nutrient,NF,2,0.0527
3,14,Nutrient-NF,nutrient,NF,3,0.0443
3,15,None-PSB,none,PSB,1,0.0204
3,16,Drought-sterile water,drought,a1water,1,0.0023
3,17,Drought-sterile water,drought,a1water,2,0.0143
3,18,Nutrient-PSB_NF,nutrient,PSB_NF,1,0.0503
3,19,None-NF,none,NF,2,0.0089
3,20,Drought-PSB,drought,PSB,3,0.0131
3,21,None-PSB_NF,none,PSB_NF,1,0.0579
3,22,None-Commercial,none,Lalrise,3,0.0557
3,24,None-NF,none,NF,3,0.0913
3,25,Drought-NF,drought,NF,2,0.0686
3,26,Nutrient-Commercial,nutrient,Lalrise,3,0.108
3,27,Nutrient-sterile water,nutrient,a1water,1,0.0674
3,28,Drought-NF,drought,NF,3,0.039
3,29,Drought-PSB,drought,PSB,4,0.0133
3,30,None-Commercial,none,Lalrise,4,0.0256
3,31,a1None-sterile water,none,a1water,1,0.0499
3,32,a1None-sterile water,none,a1water,2,0.0398
3,33,a1None-sterile water,none,a1water,3,0.0349
3,34,Nutrient-NF,nutrient,NF,4,0.0724
3,35,None-PSB,none,PSB,2,0.0373
3,36,Drought-NF,drought,NF,4,0.0122
3,37,Nutrient-sterile water,nutrient,a1water,2,0.0709
3,38,Drought-Commercial,drought,Lalrise,1,0.0593
3,39,Drought-sterile water,drought,a1water,3,0.0212
3,40,Drought-sterile water,drought,a1water,4,0.0188
3,41,Drought-PSB_NF,drought,PSB_NF,3,0.023
3,42,None-PSB,none,PSB,3,0.1189
3,43,Nutrient-PSB,nutrient,PSB,3,0.1163
3,44,Nutrient-PSB_NF,nutrient,PSB_NF,2,0.0934
3,45,a1None-sterile water,none,a1water,4,0.0757
3,46,None-Commercial,none,Lalrise,5,0.1109
3,48,Nutrient-PSB,nutrient,PSB,4,0.0868
3,49,Nutrient-sterile water,nutrient,a1water,3,0.1341
3,50,Nutrient-PSB,nutrient,PSB,5,0.0372
3,51,None-NF,none,NF,4,0.0861
3,52,Nutrient-PSB_NF,nutrient,PSB_NF,3,0.0935
3,53,Drought-sterile water,drought,a1water,5,0.0326
3,54,Nutrient-PSB,nutrient,PSB,6,0.1187
3,55,None-PSB_NF,none,PSB_NF,2,0.066
3,56,Nutrient-PSB_NF,nutrient,PSB_NF,4,0.1355
3,57,Drought-NF,drought,NF,5,0.0394
3,58,Drought-PSB_NF,drought,PSB_NF,4,0.0568
3,59,None-PSB,none,PSB,4,0.1076
3,60,None-PSB_NF,none,PSB_NF,3,0.0498
3,61,Nutrient-PSB_NF,nutrient,PSB_NF,5,0.0075
3,62,Nutrient-NF,nutrient,NF,5,0.1273
3,63,Nutrient-Commercial,nutrient,Lalrise,4,0.0516
3,64,None-PSB,none,PSB,5,0.1459
3,65,a1None-sterile water,none,a1water,6,0.1032
3,66,None-NF,none,NF,5,0.1168
3,67,Nutrient-sterile water,nutrient,a1water,4,0.1146
3,68,Nutrient-NF,nutrient,NF,6,0.0909
3,69,None-NF,none,NF,6,0.0589
3,70,Nutrient-PSB_NF,nutrient,PSB_NF,6,0.022
3,71,Drought-sterile water,drought,a1water,6,0.0351
3,72,Nutrient-Commercial,nutrient,Lalrise,5,0.0556
3,73,Nutrient-sterile water,nutrient,a1water,5,0.0056
3,74,None-PSB,none,PSB,6,0.1734
3,75,Nutrient-Commercial,nutrient,Lalrise,6,0.0178
3,76,None-Commercial,none,Lalrise,6,0.0696
3,78,Drought-NF,drought,NF,6,0.1101
3,79,None-PSB_NF,none,PSB_NF,4,0.1453
3,80,Drought-PSB_NF,drought,PSB_NF,5,0.0397
3,81,None-PSB_NF,none,PSB_NF,5,0.151
3,82,Drought-Commercial,drought,Lalrise,2,0.0621
3,83,Drought-Commercial,drought,Lalrise,3,0.0594
3,85,Drought-PSB_NF,drought,PSB_NF,6,0.0103
3,86,Drought-PSB,drought,PSB,5,0.0566
3,87,Drought-Commercial,drought,Lalrise,5,0.0294
3,88,None-PSB_NF,none,PSB_NF,6,0.1695
3,89,Drought-Commercial,drought,Lalrise,6,0.0225
3,90,Drought-PSB,drought,PSB,6,0.0283